key,agreement,quote,response
"(978, 5)",-0.333333333,Yeah. Banning them will only send us back to the medieval times when everyone used SWORDS.,Well at least you can't have a drive by swording. You can run from a sword. They are pretty tough to conceal in a bank robbery.
"(638, 5)",-0.4,Maybe you get all the way to the beginning of time and you find yourself with a molecule of some matter. The question is...where did it come from.,And the answer is: we don't know. Maybe it came from nowhere. Maybe it was created. We don't know.
"(717, 4)",-0.6,"The dating of the Earth based on either erosion or sedimentary build ups actually defy our ability to determine real age accurately, yet science proposes to do just that.","And like usual, you're wrong  How were those pictures you ordered from Fox? You know the civil war ones with the dinosaur prop for the TV show ""Freaky Links""? Did they cost a lot?"
"(776, 6)",-0.8,I honestly cannot think of a case were a non-materialistic approach explains something you can measure very well. Is there something physical explained as well by non-materialistic methods as well as Electricity is explained by materialistic methods?,"besides pain, there is a plethora of experiences that take place in a person's mind that cannot be yet detected by science. imagination, taste, dreams, art appreciation, etc. even though these things are real, they cannot be quantitatively described in physical terms, so they cannot be treated by science."
"(407, 0)",-1,"I'm wondering what it implies that God brought each of the animals to Adam and none of them proved to be a suitable ""helper."" What exactly does that mean, given the activities that seem to have been carried on between Adam and his proper ""helper"", Eve?",What?!
"(218, 3)",-1,"I guess I need to rethink the word punish, but I think you know that I do not mean literal punishment. The term ""punish"" is being used as simply that, a term.   I do believe that God would take that child directly to heaven, but the jump you make from your first two sentences to the point you try to make in the last sentence is nonsensical.","Alright, I'll accept your term of punish. If you didn't fully understand what I was trying to say in my last post, here is a quick run down of it.  Abortion = Punish Child If God is good he wouldn't punish an aborted child Therefore an aborted child will go to heaven If this were not true then God would be punishing the child  I hope this is clear. I simply wanted to make the point that if you believe an unborn has a soul already, then aborting the child simply means it gets to go straight to heaven. That is not really a bad deal for the child."
"(1154, 5)",-1,"I am fairly certain no ""afterlife"" exists.","Been there, done that, right? I wish I could die and come back to life like that."
"(437, 0)",-0.666666667,"Since we already had one example of a Creationist lowlife tactic in the George Gaylord Simpson quote, I decided to skim the site and see if I could find another. I did.","Don't you think this would fit the 'Creationism is nothing but lie's thread a bit better? Although I notice The Skeptic making disparaging remarks about your examples, it seems he attacks you more than deal with the well documented examples you have."
"(686, 6)",-0.333333333,2) Larger budget for law enforcement for persecution of firearm offenders. No larger budget for law enforecemnt + unconstitutional gun laws on the same bill before Congress.,"Smaller budget for law enforcment.. Stop the so-called war on drugs. Disband the DEA, the BATFE, Have the FBI do these things on a very minor scale.   REPEAL LAWS FOR MALA IN PROHIBITA CRIMES!  Shift the responsibility to the individual.  REALEASE NON VIOLENT DRUG OFFENDERS!  Liberty encompases all people in all passions even if we disprove of thier PERSONAL behavior."
"(1231, 6)",-0.2,"The ""truth"" about atheism is that it's the only proposition that makes sense (apart from agnosticism ?) to people who conclude, as I do, that religious principles are not based on reason. I know it's a bit unusual in a public forum but I'd like to introduce a little personal history here by way of illustration of my path to atheism: I was educated during my most impressionable years (11-18) at a grammar school controlled by the Jesuits. All my teachers were priests and many were of formidable intellect. Every morning began with ""divine service"", every lesson was started and ended with a prayer. At noon we sang the Angelus and at 3.30 in the afternoon we finished the school day with Benediction. We had at least one session a day learning and reciting the catechism - so we could be word perfect in our answers to metaphysical questions. Yet all this religious conditioning failed to arouse any spark of faith in me. Sure, I conformed to all outward appearances, but inwardly I rebelled and I did not believe. So why didn't I believe - because my clergymen teachers gave me no REASONS to do so. When, eventually, during my last days at school I chose to reveal my disbelief - the Rector said, ""Well, after all, faith is a gift from God !"" , and I had received no such gift.  Since, in my view, there is no reasoned evidence for God's existence, why succumb to wish-fulfillment ? It's less comforting but more honest to be an atheist.","I'm an atheist pretty much the same reason you are an atheist (except for going to a religious school.  I didn't really think it was fair and balanced at all. It protrayed atheists as lost from the true path. The reasons it gave for being atheist were they hadn't found god yet, and a tradgedy. What about logically thinking about it? And a RELIGIOUS STUDIES teacher says that atheism is just a phase? They also say atheism is the easy way out. I think it's easier to just believe in a god and be comforted. I'm not saying people do but I'd say Christianity is more of a quick fix than atheism. All you have to do is believe in god and you're safe for your life and afterwards. Most Atheists don't believe what they do just to rebel or haven't found God yet. Mostly it's because they realized that there is no logical proof (enough for them) that there is God. They also said incorrectly that atheism isn't a religion.   reÂ·liÂ·gion [ri lÃ_jj?n] n  1. religion beliefs and worship: people?s beliefs and opinions concerning the existence, nature, and worship of a deity or deities, and divine involvement in the universe and human life   MicrosoftÂ® EncartaÂ® Reference Library 2003. Â© 1993-2002 Microsoft Corporation. All rights reserved.  Wouldn't you say the belief that there is no god and when we die we die qualifies as this?"
"(164, 3)",-0.2,"Based on threads I 've been reading here, there is a real tendency among some of the pro-choicers to portray pregnancy as a horrible thing that cause women to suffer--that it is somthing bad or undesirable.  - How could the opportunity to bring a life into the world, a wonderful miracle, be so awful by default?  Rather than bring into this peripheral thoughts to the question, such as rights and legal issues (which are discussed at length here already in other threads), I'd love to hear straightforward relelvant answers to this. I am also already aware that pregnancy can sometimes involve complications or that it can at times cause financial constraints. But I am mainly interested in seeing why there is a default tendency in pro-choice arguments to argue from the standpoint of pregnancy being a bad thing. Any thoughts?",the bad thing about pregnancy is that it brings a life into the world. the most common reason for abortion is that the woman does not want the child. abortions that occur due to complications or medical risks to the mother or child make up less than 5% of the total.
"(873, 4)",-0.8,Mike Moore of Muskegon Michigan is alive and well because he used a firearm in self-defense.  Mike Moore of Flint Michigan is a famous anti-gunner.,i knew this is where this was going. see bowling for columbine. thats where billsco probably got the unfounded idea that moore is anti-gun.
"(1142, 4)",-0.666666667,Well? Let's get to it. Why do YOU believe?,I believe in that which is. Because to believe in anything else is ultimately pointless.
"(452, 1)",-0.666666667,You seem to be arguing that a corpse is a human.,"Yes, it is human, biologically. However, it isn't a human being as it isn't alive."
"(785, 2)",-0.6,Every child needs a mom and dad if at all possible. Research has proven this. Our prisons are full of children with no fathers in their lives!! Two moms or two dads has never been proven necessary.,"You might want to consider talking to the children of gay people about their parents. You could start with mine. When he hears arguments like yours - his response ""shame on them."" He's 11, but he gets it, and finds your point of view as repulsive as racism. ""You don't need a weather man to know which way the wind blows."" ~ Bob Dylan."
"(148, 3)",-1,What possible concern is any of that to you?,"Now, I could ask the same thing."
"(737, 2)",-0.4,"Robbie, You are unbelievable. No one is sitting here saying that the fetus inside the whomb are unhappy people. Women get abortions for a ton of reasons. I am Irish Catholic and even I am not such a freak about a womens right to chose. You sound like Hitler. :xbanghead.","Hi Boopee. emoticon_frazzled   I don't know what to say. Never thought I'd be compared to Hitler. Yikes! Um, well, ya. So, I guess if you're interested, I'll give some reasons why I'm against abortion.  Here's some links to articles about it on Boundless (a webzine). (if you want to, just go to www.boundless.org and type abortion into the search bar)  http://www.boundless.org/2001/regulars/kaufman/a0000567.html http://www.boundless.org/2000/features/a0000229.html http://www.boundless.org/2000/features/a0000230.html (read this, if no others)  I oppose abortion because.... a) I beleive the unborn is a valuable human being, and therfore abortion is murder b) I beleive that abortion hurts women (see links)  Yah, those are the basic reasons."
"(1048, 0)",-0.8,"I'm afraid you're wrong, as I created you in my universe, and implanted in you a belief that you were a god. It lead you to make statements about the truth of your own beliefs, which I'm afraid are just self-beliefs with no real evidence.  Sorry.","I'm afraid it is you who is wrong. I created you so that you would think you created me to think I created everything, even though I did. It's more of a challenge that way to try to convert people to the one true religion. Since you can see that I won't be able to convert the world (it's due in a week), you can pay $100 dollars to me so I will take you with me to the upper world."
"(361, 5)",-0.833333333,I've touched on this before...  Does America have the world's worst politicians?  You must have if you need so many guns to stop them robbing you.  Heaps of other democratic nations aren't as fearful of their own government as you are. Therefore I'd conclude you have the guns because you need the guns.,Yes we need guns.  Heaps of other democratic nations still have royality. They still follow royality like sheep.
"(1120, 3)",-1,"God is often the answer for the things we can't explain. Since we are not gods, we cannot know everything. Alot, yes. Everything, no.",But I think that Gods originally came about to explain why a large yellow thing goes up and down everyday. To a caveman the most logical explanation is there is a God. Now we know better. Just because there are still things we can't explain does not mean they must be from God.
"(993, 5)",-0.833333333,"* The scaracity of erosion, soil must have been deposited in quick succession.",I'm not sure what you're talking about here.
"(608, 4)",-0.4,"which did God create first, the laws or energy and matter?","Actually energy can be caused by matter. Newton's Theory of Gravitation shows that gravity is an effect of the presence of mass. The presence of a second mass within the gravitation field of the first mass gives the matter gravitational potential energy, which, without an opposite force to balance it, is converted into kinetic energy."
"(1076, 3)",-0.833333333,Virtually anything!,Which then would NOT be omnipotent/omniscient.
"(1082, 1)",-0.166666667,"The ""solution"" is what's causing all of the ocean currents to produce ""mega"" hurricanes, tsunamis, and other ""freak weather"". If the more ice melts, the weather could only get much worse. That is why we must act fast. I am not trying to scare you, or freak you out by this, but this is a very serious matter.",We don't actually know this for sure. There is some data but much speculation as to what is exactly causing larger and more frequent storms. The bigger problem of reducing salinity is the currents themselves and how they intergrate with migration and heat transfer. Sources of food that humans depend upon could disappear if currents drastically change. And the basis of Day after Tommorrow is correct in how the gulf stream helps regulate temperatures in Europe.
"(711, 0)",-1,"I'm not atheist or agnostic, and I believe in the whole bible...but I believe the two coexist.","Genesis 1:12 ""The land produced vegetation: plants bearing seed according to their kinds and trees bearing fruit with seed in it according to their kinds.""  Genesis 1:21 ""So God created the great creatures of the sea and every living and moving thing with which the water teems, according to their kinds, and every winged bird according to its kind.""  Genesis 1:25 ""God made the wild animals according to their kinds, the livestock according to their kinds, and all the creatures that move along the ground according to their kinds.""  Genesis 2:21-23 ""So the LORD God caused the man to fall into a deep sleep; and while he was sleeping, he took one of the man's ribs and closed up the place with flesh. Then the LORD God made a woman from the rib he had taken out of the man, and he brought her to the man. The man said,   ""This is now bone of my bones  and flesh of my flesh;  she shall be called 'woman,'  for she was taken out of man.""   How do you explain these verses?"
"(1067, 2)",-0.5,"That's a good one. And I always just thought they were socialists.......  Hey, guys, where did all our liberal punching bags go, and why aren't there any new ones? I have noticed, when debating gun control online, that the victim disarmament crowd shows up wanting to debate. The pro-gunners use facts and logic in support of their argument, and the VD people run away. Usually, it doesn't take long for a new one to show up and go ""AH, but I will cut and paste THIS from the Handgun Control Inc webpage, and that will show them!"". Then we have a new liberal punching bag. Where are trhe liberals hanging out these days?","Well, what specific posts are you referring to when you talk about people pasting things from Handgun Control Inc? I know that Rev HellH0und copies and pastes a lot of things from progun websites. It seems to me that we get a lot of pro-gunners here who think they know a lot because they've visited some pro-gun websites. And I wonder what Freud would have said about a group of people who have an obsession with guns. What are they trying to make up for?"
"(763, 0)",-0.833333333,"I'm sorry, I mispoke- It could have resulted in two deaths. Once again, your article does not give us much insight into the situation. If the baby has sepsis, or some other type of contamination, it is very likely she would get it too.","But how would abortion laws (at least the ones I would like, and most of pro-lifers) cause this?"
"(1186, 1)",-0.285714286,Anyone who wants to legalize bringing a weapon onto a plane is an idiot. Simply stated...  Always Stay Open Minded.,You have conviced no one or even come remotely to forming an argument.
"(359, 4)",-0.6,"If anything, the special dependant class already exists in the form of the heterosexual married couple, funded by the rest of society, married or not. Any ""loopholes"" that exist are now only to the exclusive benefit of heterosexual married couples.",I have never disagreed that marriage is a special dependent class. My point is that it is a society-sanctioned special class.
"(1402, 6)",-1,"This argument is self-defeating. A theory is not a fact, no matter how much evidence may support the theory. Bad wording. But again, if you claim something as a fact, you must have proof, verified in both your method of reasoning, and the reasoning utilized by the person you are proving the fact to.","A fact is simply a phenomenon that is observable by any competent observer. It is not proven. For example, Euclid made the assumption that one and only one straight line exists between two points. This is generally considered a fact. However, two points that cannot be connected by a straight line could be discovered tomorrow, and that Euclid's first postulate would be disproven."
"(231, 3)",-0.833333333,Surely this question be easy enough to answer.   Any rational thinking thiest want to give my question a shot?,"Well I'm neither rational nor a theist, but still!  I could put in a comment about what I personally believe the nature of God to be, but I'm sure you've all heard it before so I won't bother!  In the end I don't think it is an easy question to answer, it is asking to define the undefinable. Humans are limited creatures, we can give a dictionary definition of these things, we have a rough idea of the concept of infinity but can never begin to truly comprehend or define it."
"(1167, 5)",-1,"After the person's case is thoroughly investigated, and they are guilty, the death penalty should stay.","But the problem is with determining whether or not a person ACTUALLY is guilty. If we could determine 100% for sure whether or not a person is guilty, I would definitely be pro-death penalty. However, I don't think it is worth the risk to sacrifice one innocent life in order to punish others."
"(503, 6)",-0.833333333,"Obviously the question every debate on abortion boils down to is when does one get the right to live, so I'd like to use this thread as a debate on that subject. Since I'm mainly concerned with whether abortion is legal or not, I'd appreciate it if religion was kept out of the debate. So the questions are:  a) What creatures have the right to live? b) When do these creatures get the right to live? c) Why do these creatures have the right to live at the time you give for question b.   Please answer all questions rather than just one since all three are essential to the debate.","I believe this to be a cross between a religious issue and a social issue. you cannot discuss the issue without discussing the religious, as well as social sides of it. so I won't try. I'll talk about them all. And then I'll tell you why I support a woman's choice concerning her own body.  One at a time...   question a) what creatures have the right to live? scientific answer: none. there is no ""right"" to life. Life advances and evolves according to natural selection, and the law that the strong survive and the weak are eaten, or else-wise deleted through some manifestation of their weakness. social answer: not applicable. humans are the only ""creatures"" who can belong to society, and therefore, obviously, only humans have the ""right"" to life. religious answer: any creature with a soul has the ""right"" to live.  conclusion: the issue as it relates to this question is inherently a religious issue, because scientifically the question is null, and socially it has no meaning.  question b) when do these creatures get the right to live? scientific answer: never. same reason as above. social answer: any creature who ""becomes"" human acquires the right to live. religious answer: any creature who acquires a soul acquires the right to live.  conclusion: this time the issue is not only religious; there is a combination of societal issues and religious issues which contribute to answering this question. no conclusion can really be made, yet, though the social answer leads to the obvious question: can a creature ""become"" human? does a maturing fetus in the womb ""become"" human at some point? or is it human from the moment of inception? i argue for the former, though plenty of people will disagree.   question c) why do these creatures have the right to live at the time I give for question c: see my answers above. they are detailed.    there is a very, very, very very VERY major question which you completely glossed over, and which is very very VERY pertinent to the issue. i raised this question to a short extent in the conclusion for question b.  i'll call it ""question d)""  question d: at what point does a creature become human?  obviously, this question is debatable. my personal opinion is that a creature (a fetus) becomes human at such time as it could live with minimal medical assistance outside of the mother's womb. this contributes to my further opinion that the larger issue is predominantly a religious one, because with the answer to this question i remove the only reason which would oppose me to abortion prior to the time of capability of self-sustainment.  on the other hand, there are others who are not religious, who are against abortion. always, these are the people who answer this last question differently than me. always, these are the people who believe that from the time of conception, a fetus is in fact a human being.  i cannot argue with their reasoning; it makes every bit as much sense as mine. from a purely physical standpoint, it makes even more sense. yet i stand by my point of view.  i submit, though, that if you want to exclude religion from the discussion, this is the only truly debatable point about abortion whatsoever.  anything else is religion. and that's a whole other can of worms."
"(846, 6)",-0.8,"Did YOU not read... He had no idea how many there were, he has been threatened with reataliation etc. etc.","So after he was safe at the hotel, locked in his room, he did not call the police for so many hours because...?"
"(1000, 6)",-0.8,I don't gather information from other people opinions.,And yet all you do is present your own opinions without supporting facts.
"(620, 3)",-0.8,"When we drive our cars, the fuel emits into the air, causing global warming.",It's not just cars and catalytic converters have greatly decreased emissions.
"(473, 5)",-0.166666667,Yes Or No?  And Why?,"Yes,  1) It's against Gods Law-an Abomination. 2) God loves the gay people but hates the Sin- there is help- I can get any gay person in contact with someone who used to be gay and has been set free and he will be willing to help, just let me know and i will get his websight to you and his phone number if you like.  3) Jesus loves you and you still have a chance to have questions answered that no one in the secular world can answer."
"(566, 5)",-0.8,"i mean jesus christ (pun intended)... look at what you posted in response to ""i believe in the teachings of jesus christ."": ""that's a vague statement."".","Jesus Christ! (Pun intended) That's not anger, I'm saying that he made a vague statement and he should elaborate on it. Someone could believe in some of the teachings of Jesus, but not be a Christian. Someone can believe in everything Jesus said except for him being the Son of God, and not be a Christian."
"(1282, 3)",-0.166666667,They itch.,How do you know this and why would this be a detriment to the species?
"(236, 4)",-0.4,"And I personally won't believe anything off of a site like that, nor would I believe anything that I got off a site that was blatantly anti-creationism.","Well, where else is the information going to come from? Nobody else cares about the creation vs. evolution debate except for creationists and evolutionists."
"(1213, 3)",-0.6,Is murder still illegal in your humanistic world?,Murder is ALWAYS illegal.
"(1085, 5)",-0.8,"Please go here. There are some good points on the Archaeopteryx, including a fossil find that shows a more modern bird-like fossil that may predate the Archaeopteryx.","Here's a picture of it  http://www.toyen.uio.no/palmus/galleri/montre/161_632.jpg  The specimens have been dated between 120 & 140 my. If at the upper end of that range that puts it very close to the age of Archaeopteryx (140 to 170 my).  But contrary to what creationists like to claim, this isn't a problem. There is no claim that Archaeopteryx is ancestral to Confuciusornis. If you look at birds now you will see lots of different species. They have a common ancestor but are not descended from one another. Archaeopteryx is just the oldest example of a bird that we have, and considering the distance between the sites where the fossils were found, and possibly several million years in time, I would expect them to be different."
"(1198, 0)",-1,"If a particular animal had a beneficial mutation, it may not necessarily be able to breed to pass that on... it might have the ability to digest a new type of food, but it may be too small to compete against a larger male.","I see. You are claiming that this is the case with every single beneficial mutation in every species through all time? If that is not what you are saying, then what is your point? Suppose what you say is true half the time. Then the gene gets passed on half the time. And what if the mutation occurs in the larger male?"
"(105, 4)",-0.5,That is one negative I see to the side of evolution as any species who could use the sun for energy could survive almost anything just as plants have.,And so have animals. Plants have been wiped out in the great extinctions too. [quote]Carbon dioxide producing animals could even feed themselves with their own breathe![/quot] Huh? You produce carbon dioxide. How do you propose to feed yourself with that?
"(381, 5)",-0.833333333,"No, faith and reason are mutually exclusive. Science is based on reason.","As proved above by definition of reason above, it all depends on what premise or starting assumption you have as to what conclusion you will reason out. You are correct that faith does not neccessary require evidence. But there is usually always evidence to support the validity of a particular faith, in this case Christianity."
"(1354, 6)",-0.8,"In spite of this, opponents of a marriage amendment acted as if defeating Bush would spell the death of such a proposal. Apparently, it's easier to identify a single scapegoat or hold up an unworthy strawman for condemnation than it is to recognize that there is an overriding public sentiment against alternative lifestyles being officially sanctioned.","I can't help but wonder if current majority public sentiment against alternative lifestyles, and other change, isn't a portion of widespread fear as that public experiences declines in standards of living, an ongoing threat of Islamic extremist attacks and other social changes that further threaten their status quo. Change is not something eagerly embraced by a majority of the general public under normal circumstances, actually quite the opposite, and these trying times would increase their desire to hold established values representing better times in a higher light than if times were prosperous and stable. Most arguments against alternative lifestyles that I've read are mythological belief system based and present more of a position against the unknown, adherence to parameters established by that belief system, than any disruption of society. Sort of a 'no atheists in foxholes' wartime crowd mentality as versus live and let live if a change presents no threat to the individual (believer) in better times."
"(1295, 4)",-0.333333333,Japan continues not to support birth control because of spurious claims made re: the complications that it can cause women - later birth defects etc.,They still have a lower rate of unwanted preganacies than the USA.
"(868, 6)",-0.833333333,"Actually, it's not a good point. I usually question the maturity of people who judge other people by where they were born and raised. There are good things about every state.  Louisianna is just as good as any other state. So are most of the people who live there.  There are crooks in every state, also.","Because there are good things about every state means....what exactly? Of course there is good in bad in most everything, which has nothing to do with what I said.  Yes, great food, crawfish as a staple, great fishing, bayous, New Orleans, Mardi Gras....long beads......sure, some great things. With regards to achievement or vision? I'm not seeing it. Legal gambling? That was another recent ""achievement"". What about wanting to secede from the Union? Yes, Louisiana is the consistent trend-setter for the civilized world. Oh wait, it isn't.  -Mach."
"(627, 2)",-0.6,Was incest okay back then?,"Well, how else were they supposed to reproduce?"
"(1108, 6)",-0.5,In these experiments posted the scientist are stimulating the simulated environmet with chemicals.,"They are merely taking chemicals that they can detect in outer space and reproducing the enviroment they are found in, by exposing them to ultraviolet. You are exposed to ultraviolet when you walk outside in the sunshine.  Every chemical that they used is readily detected in interstellar molecular clouds."
"(980, 5)",-1,"""We call in the doctor to save us from death...""  Yeah, but fetuses and the terminally ill do not call the doctor to save themselves from death. That is the fallacy of Chesterton.","Fetuses do not call the doctor at all. But if they did, I don't think it would be for him to kill them."
"(919, 1)",-0.833333333,"It's funny, there are gun-restrictions in Sweden and I have not been rounded up and exterminated yet. Must simply be a matter of time... Honestly, Those arguments are totaly worthless.    Compare the rate of criminality and murders in US and those of the average contries with gun-bans. Where do you think it's highest?",And so you have it... Socialist lunatic fringe view that human lives are only worth what the government says its worth....
"(1178, 6)",-0.6,"It's not. Education, from K-12 and higher is incredibly expensive. Most private schools and universities live on the donations of their alumni. My private highschool was short $2,000 after tuition. $60 million short every year.","Well, your thinking with a given market of a few. Public school is monopoly, and the price is way out of line according to the real demand. I'm quite sure that it would adjust accordingly...hell, if one could afford a computer, then one can afford an education via online."
"(1027, 1)",-0.833333333,"We had light and dark moths before the industrial revolution,.","Actually, we didn't. The first record of a melanic form was in 1848. Presumably other melanic individuals had appeared before this, both in Biston bebularia as well as other moths. We know that a similar mutation occucrred in other moths North America some years after the 1848 record of the B. betualria.  There are actually several alleles of the gene responsible for color that form a dominence hierarchy with the fully black morph (called carbonaria) as the top dominant and the typical as recessive. The intermediate forms are referred to as insularia. They are uncommon. At any rate, by 1895, 98% of observed B. betularia in industrialized areas were carbonaria."
"(699, 5)",-1,"What has this got to do with the non-material world, of which God and you and I are a part of?","Hmmm... This is interesting... If I am not mistaken, you are stating that [you believe] at least some physical creatures that occupy mass in the physical realm are actually part of a non-material realm. On what basis do you make this assertion?"
"(1115, 0)",-0.5,"Let me pose a hypothetical question.  Same scenario as yours above but instead there is a genetically normal zygote on one table or on the other table, there is a mentally retarded newborn baby...which one will you choose if you had 2 seconds to choose?","Though I know you directed this question at Cthulhu, I will nonetheless jump in to say that I would quickly choose the newborn mentally retarded baby to live and the zygote to die. That is obvious to me since the mentally retarded baby is a currently existing person vs. the zygote being merely a potential person. That zygote may have more potential for the future but the decision is being made in the present. I would feel far more guilt in sentencing a real person to die than in sentencing a potential person (now merely a cell) to die."
"(1334, 4)",-0.666666667,"My posts are not meant to project smugness. All I'd like to say is that systems operate, other than your own; It is possible to be a democracy without everyone carrying around a 9mm.  That is why I also give examples of other countries such as Great Britain and New Zealand (both of whom have a general police force that is itself unarmed).  I say this because the was an argument put forward to suggest that without a heavily armed citizenry, the people could be oppressed. So, rather than deal with a hypothetical - what if this happened in the USA, I thought I'd look to where there are actual cases of democracies with unarmed citizens.  There are differing degrees of gun control. Canada has a fair few guns... but I don't believe it's a 'constitutional' issue.  However, the large amount of small arms in the USA must have something to do with the large amount of deaths by small-arms.","Well were are fine thank you very much. If we did it any other way then we would not be Americans.  The UK police are not unarmed. Just as the government takes civilian guns away. They were giving them to cops:  http://www.guardian.co.uk/Archive/Article/0,4273,4099970,00.html  They are carrying full auto machine guns on patrol. Even US cops on patrol do not carry machine guns.  ""On Monday in Brixton, south London, 28-year old Derek Bennett was shot six times by an officer who thought he was armed.""  http://www.wsws.org/articles/2001/jul2001/shot-j23.shtml  Don't trust the cops to be in your best interest. Authority is authority. Authority is not in the business of charity, nurture, or progressiveness. Authority is about control. At all levels, from the PIG cop giving tickets for kicks, to tyranical rape and murder; authority is about control. Ask any cop from any country. They will tell you, when they put on a uniform, something ""magical"" happens. It is the semblance and air of AUTHORITY. Do you really think politicians enter politics for ""public good"". They all want the office, they want the bearing of the office, they want PRIVILEDGES of office. If they want to be about charity and public good, they why aren't they working for charities? Why aren't they working in labs to cure cancer? Why aren't they in soup kitchens? Why aren't they clegry? Because none of those idealist efforts offer the priviledges, bearing, and authority of office. Come on, you know they want it. No matter what country your from or what political system, you know they want it.  Firearms are not a necessary requirement for freedom. They are a necessary requirement for fighting oppression. I am quite happy to have my politicians and elected represenatives fear me. They are my servants. When people in power do not fear citizens, then people in power have a writ to try anything. Soviets had a meaningless Constitution. Every oppressed industrial government in modern times had a government that had no fear of represials from citizens."
"(861, 3)",-0.4,"Which automatically places it a step above the other theories, Creationism being one, because it doesn't clash with what people want to hear.","But a scientist makes his bones by clashing with what people want to hear and being correct. Eventually, if enough supportive evidence is accumulated, then old theories are overthrown. The problem with creationism is that there is no theory and there isn't a single thread of supportive evidence."
"(569, 5)",-1,The evidence is adequate for me and for much of the world's population... even many scientists (including evolutionists).,I'll wait for you to explain to what miracles you are referring before responding to this statement.
"(167, 5)",-0.6,and there is really little(if any) common intellectual ground on which Creationism and Scientific Materialism can meet.,That is a truism. Who says that scientific materialism need be the only measure of scientific truth?
"(674, 6)",-1,"Reptile develops wings. These thing are completely useless on a dino, they evolve right the hell away.","Something that would let you become a better hunter or escape from hunters is ""completely useless""? I don't think so. Even so, how is ""completely useless"" a deteriment to evolution? Our fingernails are ""completely useless"" and yet we still have them. Nipples on men are ""completely useless"" but are still present none the less."
"(540, 4)",-1,"""If it doesn't submit to you peacefully then you shall besiege it...and put all it's males to the sword...and take the women and children as you spoils."" - Deut. 20:12 - Love your enemies????","Just another example of using a verse meant for personal use and applying it to wars. Sorry, just doesn't work that way."
"(466, 6)",-0.666666667,"While I appreciate your comments, they are lacking answers. Don't tell me I am wrong and offer no explaination of why. Please I wish an active debate. Don't tell me ""the sun is not the mecanics..."" tell me what is the mecanics.",Here is a paper dealing with the formation of long chains of amino acids using a simulated volcanic vent.  Elongation of Oligopeptides in a Simulated Submarine Hydrothermal System   Amino acids are found in meteorites.
"(462, 3)",-0.2,"Where do you get this BS from, Planned Parenthood?",Why the cheap shot against pp?
"(831, 1)",-0.5,"Fellow Christians in this 'Creation v. Evolution' forum... Who knows--rise to the challenge and perhaps you can bring a straying ""evil-lutionist"" back into the fold... Bradley.",You ask to debate a lot of issues at once. Do you believe in a literal Adam? Do you not think that the idea is completely connected to Jesus' ministry? If it weren't for sin - Jesus would need not have come.
"(690, 2)",-0.8,"Again, an emphasis on purpose is given by the following...","Of course an explanation of artificial selection would talk about purpose. I'm not sure how that is meaningful to the discussion. And of course, mention of eugenics is irrelevant to natural selection."
"(35, 4)",-1,"Habbit, I would be more than happy to debate you, unfortunately you don't quite yet have a grasp on the meaning of the word.","k, but what does my name have the current discussion?"
"(988, 0)",-0.5,"How is that a affect of deterrence? Deterrence works by preventing people through the fear of consequences. A dead man has no fears.   Furman Vs. Georgia, where the supreme court specifically noted that there is not a single piece of conclusive evidence that the penalty is a effective deterrent.",#NAME?
"(872, 3)",-1,"Not many women would say they had an abortion now, let alone back when it was illegal.  It is an emotionally trying event. I can understand why she wouldn't for that reason alone. Another possibility is that the Administration is buying her silence, or it could be a combination of the two.","So since she doesn't come out, we just assume that the four people that they have affidavits from are not lying, or maybe BEING PAID BY THE KERRY CAMPAIGN?"
"(946, 2)",-0.2,"Get a clue. That's like banning drugs. They're illegal now, but tons of people do them. Does this stop them? Not one bit. You said guns, not weapons. Then you say most crimes are committed using weapons. Should we just bans all types od weapons? What about knives, pipes, crowbars, baseball bats, glass, rocks, curbs, etc? People use them all the time to commit crimes.","And like drugs, banning firearms would create another tax free black market, supplied by underground smuggling and manufacturing. Making a pistol with low chamber pressures, especially a semi or full auto firing from an open bolt, is no big deal to a competent machinist. Guns like the MC-10 are made mostly from stamped steel, simple to manufacture in a spare room. This all sounds like legislation of morality, proven to be impossible."
"(336, 2)",-0.5,"I think we should eliminate projectile guns altogether... I'd like to see a switch to high power stun weapons, so no one can be hurt.","Sorry you feel like that. But in a fight to the death there are no rules of decent society. I will cheat and use every advantage I can get to stop a felon trying to take my life.  When the police use a stun gun, his partner is standing right next to him as a backup with a 12-guage shotgun. When you sign up for that stun gun, buy then extra optional accessory of a partner with a 12-guage shotgun."
"(599, 1)",-0.2,"These last two cases are of course not the norm, but they indicate the wide-range of ideas that can be routinized by the judicious quoting of scientific authority.","And you have just described ""creation science."" No application of the scientific method. No testing. The conclusions are known before the judicious quoting of scientific authority has even begun. I notice that you use one of those quotes of a scientific authority below. You show that you are what you decry."
"(1025, 1)",-0.166666667,I've heard pro-gunners accuse Bellesiles of being a fraud over and over again. I went searching on the web for a more objective source of information about Bellesiles. And pro-gunners seem to be inconsistent because they still praise John Lott.   Michael Bellesiles has posted his raw data online for those who claim he has fabricated data. http://www.bellesiles.com/.,I don't see why it is so hard to accept he lied. He lost is award and lost his job over his data.
